season,game_type,week,weekday,gameday,gametime,game_time_12hr,game_id,home_team,away_team,location,spread_line,away_spread_odds,home_spread_odds,home_record_pre_W,home_record_pre_L,home_record_pre_T,home_record_pre_pct,away_record_pre_W,away_record_pre_L,away_record_pre_T,away_record_pre_pct,home_score,away_score,total_line,over_odds,under_odds,away_moneyline,home_moneyline,roof,surface,temp,away_rest,home_rest
2015,REG,4,Sunday,2015-10-04,09:30,9:30 AM,2015_04_NYJ_MIA,MIA,NYJ,Neutral,-2.5,-116.0,105.0,1,2,0,0.3333333333333333,2,1,0,0.6666666666666666,14.0,27.0,42.0,100.0,-110.0,-134.0,121.0,outdoors,grass,59.0,7,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_OAK_CHI,CHI,OAK,Home,-3.0,-125.0,113.0,0,3,0,0.0,2,1,0,0.6666666666666666,22.0,20.0,44.5,-111.0,101.0,-177.0,159.0,outdoors,grass,55.0,7,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_PHI_WAS,WAS,PHI,Home,-3.0,102.0,-113.0,1,2,0,0.3333333333333333,1,2,0,0.3333333333333333,23.0,20.0,46.0,-120.0,109.0,-149.0,135.0,outdoors,grass,58.0,7,10
2015,REG,4,Sunday,2015-10-04,16:25,4:25 PM,2015_04_STL_ARI,ARI,STL,Home,7.0,-115.0,104.0,3,0,0,1.0,1,2,0,0.3333333333333333,22.0,24.0,43.5,100.0,-110.0,252.0,-285.0,closed,grass,,7,7
2015,REG,4,Monday,2015-10-05,20:30,8:30 PM,2015_04_DET_SEA,SEA,DET,Home,10.0,-113.0,102.0,1,2,0,0.3333333333333333,0,3,0,0.0,13.0,10.0,43.0,-107.0,-103.0,400.0,-470.0,outdoors,fieldturf,74.0,8,8
2015,REG,5,Thursday,2015-10-08,20:25,8:25 PM,2015_05_IND_HOU,HOU,IND,Home,4.5,-111.0,101.0,1,3,0,0.25,2,2,0,0.5,20.0,27.0,40.5,101.0,-111.0,187.0,-209.0,closed,fieldturf,,4,4
2015,REG,5,Sunday,2015-10-11,16:05,4:05 PM,2015_05_ARI_DET,DET,ARI,Home,-4.5,-105.0,-105.0,0,4,0,0.0,3,1,0,0.75,17.0,42.0,46.0,-104.0,-106.0,-202.0,181.0,dome,fieldturf,,7,6
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_BUF_TEN,TEN,BUF,Home,1.0,-107.0,-103.0,1,2,0,0.3333333333333333,2,2,0,0.5,13.0,14.0,43.0,-105.0,-105.0,100.0,-110.0,outdoors,grass,67.0,7,14
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_CHI_KC,KC,CHI,Home,10.0,-115.0,104.0,1,3,0,0.25,1,3,0,0.25,17.0,18.0,44.0,-105.0,-105.0,361.0,-420.0,outdoors,grass,72.0,7,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_CLE_BAL,BAL,CLE,Home,6.0,100.0,-110.0,1,3,0,0.25,1,3,0,0.25,30.0,33.0,43.0,-105.0,-105.0,227.0,-255.0,outdoors,sportturf,65.0,7,10
2015,REG,5,Sunday,2015-10-11,16:25,4:25 PM,2015_05_DEN_OAK,OAK,DEN,Home,-5.0,-107.0,-103.0,2,2,0,0.5,4,0,0,1.0,10.0,16.0,44.5,-110.0,100.0,-225.0,201.0,outdoors,grass,72.0,7,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_JAX_TB,TB,JAX,Home,1.0,-103.0,-107.0,1,3,0,0.25,1,3,0,0.25,38.0,31.0,41.0,100.0,-110.0,104.0,-115.0,outdoors,grass,84.0,7,7
2015,REG,5,Sunday,2015-10-11,16:25,4:25 PM,2015_05_NE_DAL,DAL,NE,Home,-8.0,-108.0,-102.0,2,2,0,0.5,3,0,0,1.0,6.0,30.0,51.0,-105.0,-105.0,-350.0,305.0,closed,matrixturf,,14,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_NO_PHI,PHI,NO,Home,6.5,105.0,-116.0,1,3,0,0.25,1,3,0,0.25,39.0,17.0,49.5,100.0,-110.0,245.0,-277.0,outdoors,grass,67.0,7,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_SEA_CIN,CIN,SEA,Home,3.0,-109.0,-101.0,4,0,0,1.0,2,2,0,0.5,27.0,24.0,44.5,-110.0,100.0,131.0,-145.0,outdoors,fieldturf,66.0,6,7
2015,REG,5,Sunday,2015-10-11,20:30,8:30 PM,2015_05_SF_NYG,NYG,SF,Home,7.5,-105.0,-105.0,2,2,0,0.5,1,3,0,0.25,30.0,27.0,43.5,100.0,-110.0,305.0,-350.0,outdoors,fieldturf,61.0,7,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_STL_GB,GB,STL,Home,8.5,-110.0,100.0,4,0,0,1.0,2,2,0,0.5,24.0,10.0,45.0,100.0,-110.0,322.0,-370.0,outdoors,grass,67.0,7,7
2015,REG,5,Sunday,2015-10-11,13:00,1:00 PM,2015_05_WAS_ATL,ATL,WAS,Home,7.5,-120.0,109.0,4,0,0,1.0,2,2,0,0.5,25.0,19.0,48.5,-104.0,-106.0,285.0,-325.0,dome,fieldturf,,7,7
2015,REG,5,Monday,2015-10-12,20:30,8:30 PM,2015_05_PIT_SD,SD,PIT,Home,4.0,-106.0,-104.0,2,2,0,0.5,2,2,0,0.5,20.0,24.0,45.5,-106.0,-104.0,186.0,-208.0,outdoors,grass,93.0,11,8
2015,REG,6,Thursday,2015-10-15,20:25,8:25 PM,2015_06_ATL_NO,NO,ATL,Home,-3.0,100.0,-110.0,1,4,0,0.2,5,0,0,1.0,31.0,21.0,52.0,-103.0,-107.0,-148.0,134.0,dome,sportturf,,4,4
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_ARI_PIT,PIT,ARI,Home,-5.5,-102.0,-108.0,3,2,0,0.6,4,1,0,0.8,25.0,13.0,45.0,-101.0,-109.0,-230.0,205.0,outdoors,grass,45.0,7,6
2015,REG,6,Sunday,2015-10-18,16:25,4:25 PM,2015_06_BAL_SF,SF,BAL,Home,-2.5,-116.0,105.0,1,4,0,0.2,1,4,0,0.2,25.0,20.0,43.5,-105.0,-105.0,-139.0,126.0,outdoors,grass,69.0,7,7
2015,REG,6,Sunday,2015-10-18,16:05,4:05 PM,2015_06_CAR_SEA,SEA,CAR,Home,7.0,-105.0,-105.0,2,3,0,0.4,4,0,0,1.0,23.0,27.0,41.0,-104.0,-106.0,270.0,-307.0,outdoors,fieldturf,61.0,14,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_CHI_DET,DET,CHI,Home,3.5,102.0,-113.0,0,5,0,0.0,2,3,0,0.4,37.0,34.0,45.0,-107.0,-103.0,181.0,-202.0,dome,fieldturf,,7,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_CIN_BUF,BUF,CIN,Home,-3.0,-109.0,-101.0,3,2,0,0.6,5,0,0,1.0,21.0,34.0,42.5,100.0,-110.0,-156.0,141.0,outdoors,a_turf,40.0,7,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_DEN_CLE,CLE,DEN,Home,-3.5,115.0,-127.0,2,3,0,0.4,5,0,0,1.0,23.0,26.0,41.5,-105.0,-105.0,-164.0,148.0,outdoors,grass,47.0,7,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_HOU_JAX,JAX,HOU,Home,2.5,120.0,-133.0,1,4,0,0.2,1,4,0,0.2,20.0,31.0,43.5,-110.0,100.0,140.0,-155.0,outdoors,grass,73.0,10,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_KC_MIN,MIN,KC,Home,3.5,-123.0,111.0,2,2,0,0.5,1,4,0,0.2,16.0,10.0,43.0,-108.0,-102.0,146.0,-162.0,outdoors,fieldturf,54.0,7,14
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_MIA_TEN,TEN,MIA,Home,2.5,-103.0,-107.0,1,3,0,0.25,1,3,0,0.25,10.0,38.0,44.0,-106.0,-104.0,118.0,-130.0,outdoors,grass,56.0,14,7
2015,REG,6,Sunday,2015-10-18,20:30,8:30 PM,2015_06_NE_IND,IND,NE,Home,-8.0,-104.0,-106.0,3,2,0,0.6,4,0,0,1.0,27.0,34.0,53.5,-106.0,-104.0,-335.0,293.0,closed,fieldturf,,7,10
2015,REG,6,Sunday,2015-10-18,16:25,4:25 PM,2015_06_SD_GB,GB,SD,Home,10.5,-109.0,-101.0,5,0,0,1.0,2,3,0,0.4,27.0,20.0,50.0,-101.0,-109.0,439.0,-520.0,outdoors,grass,54.0,6,7
2015,REG,6,Sunday,2015-10-18,13:00,1:00 PM,2015_06_WAS_NYJ,NYJ,WAS,Home,7.5,100.0,-110.0,3,1,0,0.75,2,3,0,0.4,34.0,20.0,39.5,-101.0,-109.0,305.0,-350.0,outdoors,fieldturf,49.0,7,14
2015,REG,6,Monday,2015-10-19,20:30,8:30 PM,2015_06_NYG_PHI,PHI,NYG,Home,3.5,100.0,-110.0,2,3,0,0.4,3,2,0,0.6,27.0,7.0,50.5,-102.0,-108.0,181.0,-202.0,outdoors,grass,44.0,8,8
2015,REG,7,Thursday,2015-10-22,20:25,8:25 PM,2015_07_SEA_SF,SF,SEA,Home,-6.5,-107.0,-103.0,2,4,0,0.3333333333333333,2,4,0,0.3333333333333333,3.0,20.0,41.5,-107.0,-103.0,-270.0,239.0,outdoors,grass,75.0,4,4
